"model.total","plant.total","model1.area","model1.main1","model1.main.group1","model1.main1.number","model1.main1.number.unit","model1.main1.year","model1.main1.yield","model1.main1.yield.unit","model1.main2","model1.main2.number","model1.main2.year","model1.main2.yield","model1.main2.yield.unit","model1.intercrop1","model1.intercrop.group1","model1.intercrop1.number","model1.intercrop1.number.unit","model1.intercrop1.year","model1.intercrop1.yield","model1.intercrop1.yield.unit","model1.intercrop2","model1.intercrop2.number","model1.intercrop2.year","model1.intercrop2.yield","model1.intercrop2.yield.unit","model1.intercrop3","model1.intercrop3.number","model1.intercrop3.year","model1.intercrop3.yield","model1.intercrop3.yield.unit","model1.intercrop4","model1.intercrop4.number","model1.intercrop4.year","model1.intercrop4.yield","model1.intercrop4.yield.unit","model1.intercrop5","model1.intercrop5.number","model1.intercrop5.year","model1.intercrop5.yield","model1.intercrop5.yield.unit","model1.intercrop6","model1.intercrop6.number","model1.intercrop6.year","model1.intercrop6.yield","model1.intercrop6.yield.unit","model1.plant.formula.x","model1.soil.characteristic","model1.land.slope","model1.water","model1.income.main.2018","model1.income.intercrop.2018","model1.cost.main.2018","model1.cost.intercrop.2018","model1.income.2018","model1.cost.2018","model1.profit.2018","model1.plant.formula.y","model2.area","model2.main1","model2.main1.number","model2.main1.year","model2.main1.yield","model2.main1.yield.unit","model2.intercrop1","model2.intercrop1.number","model2.intercrop1.year","model2.intercrop1.yield","model2.intercrop1.yield.unit","model2.intercrop2","model2.intercrop2.number","model2.intercrop2.year","model2.intercrop2.yield","model2.intercrop2.yield.unit","model2.intercrop3","model2.intercrop3.number","model2.intercrop3.year","model2.intercrop3.yield","model2.intercrop3.yield.unit"
1,3,2.5,"SAO DEN","LN",625,"CAY",1999,NA,NA,"KEO",625,1999,NA,NA,"TRE (MANG)","TPM",300,NA,2005,10,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT LAN DA","DOC VUA","CO NUOC",NA,40,NA,11.2,40,11.2,28.8,"LN+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.1,"SAO DEN","LN",13,"CAY",2014,NA,NA,NA,NA,NA,NA,NA,"TRE (MANG)","TPM",25,NA,1007,NA,NA,"SAU RIENG",5,2019,NA,NA,"BO",20,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOC VUA","THIEU NUOC",NA,15,NA,10,15,10,5,"LN+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.45,"TRE (MANG)","TP(M)",100,"BUI",2013,400,"KG",NA,NA,NA,NA,NA,"CHUOI","RMTP",50,NA,2014,150,"BUONG (MOI BUONG 10 - 12 NAI)","BO",150,2015,2,"TAN","DAU XANH",20,2013,750,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT XAM DEN","DOC VUA","CO NUOC",3,70,1,2,73,3,70,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.2,"SAU RIENG","AQ",30,"CAY",2014,200,"KG",NA,NA,NA,NA,NA,"CHUOI","RMTP",30,NA,2014,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQ+RMTP","DAT CAT PHA","DOC VUA","CO NUOC",25,25,5,5,50,10,40,"AQ+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0.8,"GIANG HUONG","LN",2000,"CAY",2000,NA,NA,"TRE (MANG)",700,NA,10,"TAN","MANG CAU","AQ",100,NA,2012,500,"KG","BO",50,2012,200,"KG","CAM, QUYT",50,2014,200,"KG","SU SU",80,2019,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT CAT PHA","DOC CAO","THIEU NUOC",6,10,NA,NA,16,0,16,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0.8,"KEO LA TRAM","LN",300,"CAY",2009,NA,NA,NA,NA,NA,NA,NA,"DAU VE","RMTP",NA,NA,2009,100,"KG","SU SU",NA,2009,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT LAN DA","DOC VUA","THIEU NUOC",NA,10,NA,5,10,5,5,"LN+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.4,"TRE (MANG)","TP(M)",50,"BUI",2000,3,"TAN",NA,NA,NA,NA,NA,"BO","AQ",10,NA,2015,1,"TAN","SAU RIENG",10,2015,NA,NA,"DAU XANH",20,2010,10,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC VUA","THIEU NUOC",15,95,10,7.5,110,17.5,92.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,3,"SAO DEN","LN",100,"CAY",1997,NA,NA,NA,NA,NA,NA,NA,"MIT","AQ",200,NA,1997,NA,NA,"SAU RIENG",200,2000,4.5,"TAN","DAU DA",35,2000,100,"KG","HONG QUAN",100,2008,300,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT XAM DEN","DOC VUA","CO NUOC",NA,230,NA,90,230,90,140,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2.5,"TRE (MANG)","TP(M)",1000,"BUI",1990,25,"TAN",NA,NA,NA,NA,NA,"CAM QUYT","AQ",250,NA,2016,NA,NA,"CAM, QUYT",150,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","CO NUOC",180,0,0,80,180,80,100,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,3,"TRE (MANG)","TP(M)",300,"BUI",1985,10,"TAN",NA,NA,NA,NA,NA,"BO","AQ",NA,NA,1980,600,"KG","DAU DA",200,2002,700,"KG","CAM, QUYT",300,2016,NA,NA,"QUYT",100,2015,1,"TAN","MANG CAU",40,NA,300,"KG",NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",80,35,15,5,115,20,95,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
