index,record,family.income,NLKH.income,plant,plant.type,intercropping,area,plant.number,plant.year,yield,plant.price,income.individual,income.total,fer.annual,chem.annual,labor.annual,harvest.annual,cost.indi,cost.total,seedling.ini,fer.ini,chem.ini,labor.ini,cost.ini.indi,cost.ini.total,harvest.time
13,1100,35,3,keo,ln,1,0.7,,,0,,,,,,home,,,,,,,home,,,
13,1100,35,3,sao,ln,1,0.7,,,0,,,,,,home,,,,,,,home,,,
13,1100,35,3,xoai,aq,1,0.7,,,0,,,,,,home,,,,,,,home,,,
12,1101,100,100,xoai,aq,1,2,1000,2004,20,,,,,,home,,,,,,,home,,,
12,1101,100,100,chuoi,aq,1,2,200,2004,4,,5,,,,home,,2,,,,,home,,,
12,1101,100,100,buoi,aq,1,2,600,2015,0,,,,,,home,,,,,,,home,,,
10,1102,150,0,sua,ln,1,0.8,20,2009,,,,,,,home,,2,,,,,home,,,
10,1102,150,0,gio bau,ln,1,0.8,2000,2009,,,20,,,,home,,2,,,,,home,,,
10,1102,150,0,sao,ln,1,0.8,50,2000,,,20,,,,home,,2,,,,,home,,,
10,1102,150,0,xoai,aq,1,0.8,30,1999,,,20,,,,home,,2,,,,,home,,,
11,1102,150,0,tram,ln,0,1.2,,2000,,,,,,,home,,,,0,0,0,home,0,0,
7,1103,70,0,sao,ln,0,0.3,,1999,,,,,,,home,,,,0,0,0,home,0,0,
8,1103,70,0,xoai,aq,0,0.4,,1999,,,,,,,home,,,,,,,home,,,
9,1103,70,0,dua leo,rau,1,0.2,,2018,,6,45,,,,home,,34,34,,,,home,,,
9,1103,70,0,kho qua,rau,1,0.2,,2018,,8,45,,,,home,,34,34,,,,home,,,
1,1104,70,42,sapo,aq,1,2,200,1994,15,12,275,,,,home,,85,,,,,home,,,
1,1104,70,42,sau rieng,aq,1,2,100,2018,,,275,,,,home,,85,,,,,home,,,
2,1104,70,42,xoai tc,aq,1,1,30,1995,,7,11,,,,home,,10,,,,,home,,,
2,1104,70,42,buoi,aq,1,1,70,1999,,30,11,,,,home,,10,,,,,home,,,
3,1105,60,,xoai c,aq,0,0.7,200,2009,0.3,15,4.5,,,,home,,,,,,,home,,,3 11
4,1106,,,xoai,aq,1,3,2000,2010,,25,100,100,,,home,,,50,,,,home,,,4 11
4,1106,,,sao,ln,1,3,200,2000,,,,100,,,home,,,50,,,,home,,,
4,1106,,,chuoi,aq,1,3,200,2018,,,,100,,,home,,,50,,,,home,,,
5,1106,,,xoai dl,aq,0,1,500,2015,,25,,,,,home,,,,,,,home,,,
6,1107,100,40,xoai c,aq,1,1.5,500,1996,1.5,30,45,,,,home,,,,,,,home,,,
6,1107,100,40,du du,aq,1,1.5,200,2018,,3,,,,,home,,,,,,,home,,,
6,1107,100,40,chuoi,aq,1,1.5,100,2018,5,8,40,,,,home,,,,,,,home,,,
6,1107,100,40,nghe,dl,1,0.5,30000,2013,,10,,,,,home,,,,,,,home,,,
6,1107,100,40,ngai bun,rau,1,0.5,30000,2013,,20,,,,,home,,,,,,,home,,,
x,1200,350,,xoai tc,aq,1,1.4,80,1983,3,,,,,,home,,,,0,,,home,,,
x,1200,350,,mit,aq,1,1.4,60,2010,,,,,,,home,,,,11 12,,,home,,,
x,1200,350,,mang cau,aq,1,1.4,,,,,,,,,home,,,,,,,home,,,
x,1200,350,,nghe,dl,1,1.4,,,,,,,,,home,,,,,,,home,,,
x,1200,350,,ngai bun,rau,1,1.4,,,,,,,,,home,,,,,,,home,,,
y,1200,350,,keo,ln,1,1.5,,,,,,,,,home,,,,,,,home,,,
y,1200,350,,sao,ln,1,1.5,,2010,,,,,,,home,,,,5 6 11,,,home,,,
y,1200,350,,xoai c,aq,1,1.5,,2009,1,14,,,,,home,,,,,,,home,,,
,1201,120,60,xoai,aq,1,1.5,500,1979,5,,,60,,30,home,7,37,37,5,,,home,,,
,1201,120,60,mang cau,aq,1,1.5,,2016,0,,,60,,,home,,,37,,,,home,,,
,1201,120,60,du du,aq,1,1.5,,2016,0,,,60,,,home,,,37,,,,home,,,
,1201,120,60,mit,aq,1,1.5,,2016,0,,,60,,,home,,,37,,,,home,,,
,1201,120,60,nghe,dl,1,1.5,,2016,0,,,60,,,home,,,37,,,,home,,,
x,1202,45,45,xoai,aq,1,0.3,300,2007,1,15,35,45,40,,home,,,40,7.5,,,home,,,1 7
x,1202,45,45,nghe,dl,1,0.3,,,,7,10,45,,,home,,,40,,,,home,,,9 10
x,1202,45,45,ngai bun,rau,1,0.3,,,,,,45,,,home,,,40,,,,home,,,
y,1202,45,45,buoi,aq,0,0.05,110,2016,0,0,,,0.4,,home,,,0.4,3.5,,,home,,,
z,1202,45,45,bo,aq,0,0.05,100,2018,0,0,,,0.4,,home,,,0.4,2.5,,,home,,,
x,1203,60,60,xoai,aq,1,1.6,500,1998,2,,,60,,,home,,,40,,,,home,,,
x,1203,60,60,mang cau,aq,1,1.6,1000,1998,1,,,60,,,home,,,40,,,,home,,,
y,1203,60,60,cam,aq,1,0.2,200,2011,0.2,10,,,,,home,,,,,,,home,,,7 9
y,1203,60,60,xoai,aq,1,0.2,50,2017,0,,,,,,home,,,,,,,home,,,
z,1203,60,60,lua,rau,0,0.5,,2018,,,,,,,home,,,,,,,home,,,
