village,plant.before,plant.after,experiment,technical,soil,weather,pest,market,policy
Le Tri,,bưởi,1,,phù hợp,phù hợp,trồng xen để bớt xịt thuốc,,
Le Tri,,sưa,,,,,,có giá,
Le Tri,,sầu riêng,0,,,,,,
Le Tri,đu đủ,,,,,,,,
Le Tri,xoài tc,,,năng suất thấp,,,,"thị trường bão hòa, giá thấp",
Le Tri,,xoài c,,,,,,có giá,
Le Tri,,bưởi,-1,,,,,,
Le Tri,,bơ,0,,,,,,
Le Tri,chuối,,,,,,,,
Le Tri,,xoài,,,,,,,
Le Tri,cam,,,,úng,,bệnh,,
Le Tri,,xoài,,,,,,,
Le Tri,khoai mì,,,,,,,,quy hoạch chuyển sang cây rừng
Le Tri,bắp,,,năng suất thấp,,,,,
Le Tri,tràm,,,không phát triển,,,,,theo chính sách của kiểm lâm 
Le Tri,xoài b,,,,,,,giá thấp,theo chính sách của nhà nước
Ba Chuc,xoài,,,,,,,không hiệu quả,
Ba Chuc,sao,,,chết,,,,,
Ba Chuc,dó bầu,,,,,,,,"đã bán, không trồng lại"
Ba Chuc,sao,,,không phát triển,,,,,
Ba Chuc,chuối,,,,,,,,ăn trộm
Ba Chuc,keo ,,,,,,,,ăn trộm
Ba Chuc,xoài,,,không phát triển,,,,,
Ba Chuc,xoài,,,giống cũ,,không phù hợp,,giá thấp,
Ba Chuc,mít,,,giống cũ,,không phù hợp,,,
Ba Chuc,,vú sữa,,,,,,,
Ba Chuc,điều,,,chết,,,,không hiệu quả,
Ba Chuc,,sầu riêng,0,,,,,,
Ba Chuc,,bơ,,,,,,,
Ba Chuc,mít,,,,,,,,
Ba Chuc,xoài,,,,,,,,
Ba Chuc,khoai mì,,,năng suất thấp,,,,,
Ba Chuc,tràm,,,chết,,nắng,,,
Ba Chuc,xoài tc,,,khó chăm sóc,,,,giá thấp,
Ba Chuc,mít,,,,,,,giá thấp,
Ba Chuc,sao,,,chết,,,,,
Ba Chuc,tràm,,,chết,,,,,
Ba Chuc,xoài,,,không phát triển,,,,,
Ba Chuc,chuối,,,,,,sâu bệnh,không ổn định,
Ba Chuc,,nghệ,,,phù hợp,phù hợp,,,
Ba Chuc,,mít,,,phù hợp,phù hợp,,ổn định,
O Lam,,xoài,,,phù hợp,phù hợp,,,
O Lam,củ mì,,,,,,,khó bán,
O Lam,,củ lùn,,dễ chăm sóc,,,,dễ bán,
O Lam,,xoài tc,,,phù hợp,phù hợp,,,
O Lam,,giáng hương,,có sẵn tự nhiên,,,,,
O Lam,,keo,,,phù hợp,phù hợp,,,
O Lam,,sao,,,phù hợp,phù hợp,,,
O Lam,,xoài c,,,,,ít sâu bệnh,,
O Lam,,xoài k,,,phù hợp,phù hợp,,ổn định,
O Lam,,sao,,,phù hợp,phù hợp,,,
O Lam,,tràm,,,,,ít sâu bệnh,,theo chính sách nhà nước
O Lam,,xoài tc,,,phù hợp,phù hợp,,tại chỗ,
O Lam,,,,,,,,,
O Lam,,,,,,,,,
